semestre;cod_preferencia;1_semestre_fies;2_semestre_fies;3_semestre_fies;4_semestre_fies;5_semestre_fies;6_semestre_fies;7_semestre_fies;8_semestre_fies;9_semestre_fies;10_semestre_fies;11_semestre_fies;12_semestre_fies
1;119933;2994,04;2994,04;2994,04;2994,04;2994,04;2994,04;2994,04;2994,04;0;0;0;0
1;119098;4285,32;4285,32;4628,14;4628,14;4998,34;4998,34;5398,19;5398,19;5830;5830;0;0
1;120421;3474;3504;3459,7;4004,69;5527,98;4621,28;5180,58;5033,79;0;0;0;0
1;119771;2633,52;2720,06;2880,07;3360,08;3200,08;3558,36;0;0;0;0;0;0
1;120095;12796,5;12796,5;12796,5;12796,5;12796,5;12796,5;12796,5;12796,5;0;0;0;0
1;122059;2999,4;2999,4;2999,4;2999,4;2999,4;0;0;0;0;0;0;0
1;119889;4454,1;4454,1;4454,1;4454,1;4454,1;4454,1;0;0;0;0;0;0
1;121943;6054;5994;6412,56;4939,11;7020,05;6665,4;9374,67;8422,11;8546,45;6734,93;0;0
1;118034;4867,62;4867,62;4867,62;4867,62;4867,62;4867,62;4867,62;4867,62;4867,62;4867,62;0;0
1;118026;2430,05;2430,05;2430,05;2430,05;2430,05;2430,05;2430,05;2430,05;2430,05;2430,05;0;0
1;119236;2428,2;2428,2;2428,2;2428,2;2428,2;2428,2;2428,2;2428,2;0;0;0;0
1;117925;7392;7392;7392;7392;7392;7392;7392;7392;7392;7392;0;0
1;119544;3689,4;3660;4316,61;3904,5;2926,23;2781,78;0;0;0;0;0;0
1;118207;11101,03;11101,03;11101,03;11101,03;11101,03;11101,03;11101,03;11101,03;11101,03;11101,03;0;0
1;118839;5399,4;5399,4;5399,4;5399,4;5399,4;5399,4;5399,4;5399,4;5399,4;5399,4;0;0
1;119973;3432;3534;3534;3534;4002;4968;0;0;0;0;0;0
1;121839;9392,54;9392,54;9392,54;9392,54;9392,54;9392,54;9392,54;9392,54;9392,54;9392,54;0;0
1;120453;3634,2;3634,2;3634,2;3634,2;3634,2;3634,2;9252;9252;0;0;0;0
1;119084;4500;4500;5352;5352;5892;5892;4632;4632;8268;8268;0;0
1;120585;8994;9894;10585,2;8893,35;15882,98;14030,69;14571,18;13089,74;12483,63;11156,9;0;0
1;119423;18371,1;18371,1;18371,1;18371,1;18371,1;18371,1;18371,1;18371,1;18371,1;18371,1;0;0
1;121637;8585,72;8585,72;8585,72;8585,72;8585,72;8585,72;8585,72;0;0;0;0;0
1;119562;6328,2;6328,2;6328,2;6328,2;6328,2;6328,2;0;0;0;0;0;0
1;121600;7681,89;7681,89;8047,6;8047,6;9657,12;10461,88;10461,88;10461,88;9657,12;9657,12;0;0
1;121234;6126;6126;6126;6126;6126;6126;6126;6126;0;0;0;0
1;121024;5400;5400;5400;5400;5400;5400;5400;5400;0;0;0;0
1;119542;7846,5;7846,5;7846,5;7846,5;7846,5;7846,5;7846,5;7846,5;7846,5;7846,5;0;0
1;122253;8955;8955;8955;8955;8955;0;0;0;0;0;0;0
1;118593;4992;4992;4992;4992;4992;4992;0;0;0;0;0;0
1;119900;8325,96;8325,96;8325,96;8325,96;8325,96;8325,96;8325,96;8325,96;8325,96;8325,96;0;0
1;120844;11040,9;11040,9;11040,9;11040,9;11040,9;11040,9;11040,9;11040,9;0;0;0;0
1;120257;24828,76;24828,76;24828,76;24828,76;24828,76;24828,76;24828,76;24828,76;24828,76;24828,76;0;0
1;119957;7633,56;7633,56;7633,56;7633,56;7633,56;7633,56;7633,56;7633,56;7633,56;7633,56;0;0
1;119920;4588,01;4588,01;4588,01;4588,01;4588,01;4588,01;0;0;0;0;0;0
1;122251;7386,5;7386,5;7386,5;7386,5;7386,5;7386,5;7386,5;7386,5;7386,5;0;0;0
1;117998;4276,25;4276,25;4276,25;4276,25;4276,25;4276,25;4276,25;4276,25;4276,25;4276,25;0;0
1;119578;7914;7914;8310;8226;8310;8226;8310;8226;0;0;0;0
1;121935;6036,25;6036,25;6036,25;6036,25;6036,25;6036,25;6036,25;6036,25;6036,25;6036,25;0;0
1;119972;4272;4272;4272;4272;4272;4272;4272;4272;0;0;0;0
1;120913;48861,65;48861,65;48860,44;48860,42;46729,08;48861,65;48861,65;48861,65;48861,65;48861,65;48862;48862
1;121086;7620;8820;8820;8820;8820;8820;8820;8820;8820;8820;0;0
1;121032;6012;6012;6012;6012;6012;6012;6012;6012;0;0;0;0
1;121704;16577,24;17958,67;16577,24;16577,24;16577,24;16577,24;16577,24;17958,67;16577,24;17958,67;0;0
1;120566;4290;4416;4416;5430;5430;5430;5430;5430;0;0;0;0
1;119394;11567,49;11567,49;11567,49;11567,49;11567,49;11567,49;11567,49;11567,49;0;0;0;0
1;121117;10614;10554;11869,06;10561,91;15819,71;12459,38;15499,62;15050,43;16389,99;13177,8;0;0
1;120552;3906;3906;3906;3906;0;0;0;0;0;0;0;0
1;122107;2400;2400;2400;2700;2940;3300;3660;3960;0;0;0;0
1;119898;7308;7308;7308;7308;7308;7308;7308;7308;7308;7308;0;0
1;119709;8922;8922;8922;8922;8922;8922;8922;8922;8922;8922;0;0
1;120899;4143,9;4143,9;4143,9;4143,9;4143,9;4143,9;0;0;0;0;0;0
1;120665;3351,6;3351,6;3351,6;3351,6;3351,6;3351,6;0;0;0;0;0;0
1;118966;48099,54;48099,54;48099,54;48099,54;48099,54;48099,54;48099,54;48099,54;48099,54;48099,54;48100;48100
1;118109;6450,71;5521,49;5846,29;6138,6;6556,77;7674,61;7309,15;7674,61;7309,15;9862,24;0;0
1;118159;3054;2994;4531,82;3489,71;3200,27;3200,27;3755,7;6206;0;0;0;0
1;122018;5694;5334;5712,91;4642,47;6612,03;6665,4;8984,3;7745,4;11975,58;8667,77;0;0
1;118693;4573,8;4573,8;4573,8;4573,8;0;0;0;0;0;0;0;0
1;122167;8496;8496;8496;8496;8496;8496;8496;8496;8496;8496;0;0
1;121542;5970;5970;5970;5970;5970;5970;0;0;0;0;0;0
1;121885;4536;4536;4536;4536;4536;4536;4536;4536;0;0;0;0
1;120024;7980;7980;7980;7980;7980;7980;7980;7980;7980;7980;0;0
1;119806;5472;5472;5472;5472;5472;5472;0;0;0;0;0;0
1;118796;12954,6;12954,6;12954,6;12954,6;12954,6;12954,6;12954,6;12954,6;12954,6;12954,6;0;0
1;120463;3131,64;2736,57;2599,09;2795,96;3232,44;3565,49;4301,3;4301,3;0;0;0;0
1;121588;8450,25;8450,25;8450,25;10527,36;10527,36;10527,36;8772,8;8772,8;8772,8;10527,36;0;0
1;118967;44949,16;44949,16;44949,16;44949,16;44949,16;44949,16;44949,16;44949,16;44949,16;44949,16;44949;44949
1;118490;3591;3770,55;3958,65;4156,25;4363,35;4581,51;4809,85;5050,2;0;0;0;0
1;118640;58200;58200;58200;58200;58200;58200;58200;58200;58200;58200;58200;58200
1;121182;4104;4104;4104;4104;4104;4104;4104;4104;0;0;0;0
1;119993;6143,35;6143,35;6143,35;6143,35;6143,35;6143,35;6143,35;6143,35;6143,35;6143,35;0;0
1;118989;8754,48;8754,48;8754,48;8754,48;8754,48;8754,48;8754,48;8754,48;0;0;0;0
1;121691;6914,4;6914,4;6914,4;7605,84;7605,84;8988,72;8988,72;8988,72;0;0;0;0
1;120895;6594,9;6594,9;6594,9;6594,9;6594,9;6594,9;6594,9;6594,9;6594,9;6594,9;0;0
1;121668;11491,2;11491,2;12209,4;12927,6;12568,5;13645,8;12927,6;11491,2;15441,3;13286,7;0;0
1;119809;2850;2850;2850;2850;2850;2850;0;0;0;0;0;0
1;119396;4002;4669;4669;4669;4669;3335;0;0;0;0;0;0
1;119070;18576;18576;18576;18576;18576;18576;18576;18576;18576;18576;0;0
1;120390;5628,47;5628,47;5628,47;5628,47;5628,47;5628,47;5628,47;5628,47;0;0;0;0
1;121366;6184,5;6184,5;6184,5;6184,5;0;0;0;0;0;0;0;0
1;119211;2700;2700;2940;2940;3100;3100;3120;3120;0;0;0;0
1;119964;5967,84;5967,84;5967,84;5967,84;5967,84;5967,84;7459,8;7459,8;7459,8;7459,8;0;0
1;121967;4254;4194;5128,56;3950,28;5613,21;5139,27;5849,6;5081,94;0;0;0;0
1;119226;9948;9948;9948;9948;9948;9948;9948;9948;9948;9948;0;0
1;119056;4912,16;4912,16;4912,16;4912,16;4912,16;4912,16;4912,16;4912,16;4912,16;4912,16;0;0
1;120677;4138,98;4138,98;4138,98;4138,98;4138,98;4138,98;4138,98;4138,98;0;0;0;0
1;121357;7269,9;7269,9;7269,9;7269,9;7269,9;7269,9;7269,9;7269,9;7269,9;7269,9;0;0
1;120288;19050;19050;19050;19050;19050;19050;19050;19050;0;0;0;0
1;121164;16751,66;16751,66;16751,66;16751,66;16751,66;16751,66;16751,66;16751,66;16751,66;16751,66;0;0
1;120111;44724;44724;44724;44724;44724;44724;44724;44724;44724;44724;44724;44724
1;120431;15735,07;15735,07;15735,07;15735,07;15735,07;15735,07;15735,07;15735,07;15735,07;15735,07;0;0
1;121815;3157,8;3157,8;3157,8;3157,8;3157,8;3157,8;0;0;0;0;0;0
1;120242;698,83;698,83;698,83;698,83;698,83;698,83;698,83;698,83;0;0;0;0
1;120747;4514,4;4514,4;4514,4;4514,4;4514,4;4514,4;4514,4;4514,4;0;0;0;0
1;118096;2639,4;2639,4;2639,4;2639,4;2639,4;2639,4;2639,4;0;0;0;0;0
1;118165;6654;6594;7048,08;5428,58;6068,93;6068,93;6069,29;7283,12;7283,12;7283,12;0;0
1;119218;58200;58200;58200;58200;58200;58200;58200;58200;58200;58200;58200;58200
1;121871;3078;3078;3078;3078;3078;3078;0;0;0;0;0;0
1;120328;42960;42960;42960;42960;42960;42960;42960;42960;42960;42960;42960;42960
1;121379;7385,93;8863,16;8863,16;8863,16;8863,16;11817,54;13294,74;11817,54;11817,54;8124,56;0;0
1;121800;55149,96;55149,96;55149,96;55149,96;55149,96;55149,96;55149,96;55149,96;55149,96;55149,96;55150;55150
1;119591;49847,16;49847,16;49874,16;49874,16;49874,16;49874,16;49874,16;49874,16;49874,16;49874,16;49874;49874
1;121741;11495;11495;11495;11495;11495;11495;11495;11495;0;0;0;0
1;118489;3901,74;3251,45;3251,45;3251,45;5446,21;6096,5;6096,5;1950,87;0;0;0;0
1;118406;53481,72;53481,72;53481,72;53481,72;53481,72;53481,72;53481,72;53481,72;53481,72;53481,72;53482;53482
1;121985;3894;3834;4486,7;3455,91;5061,78;6665,4;8542,62;8236,71;0;0;0;0
1;119374;12565,58;12565,58;12565,58;12565,58;12565,58;12565,58;12565,58;12565,58;12565,58;12565,58;0;0
1;120842;56580;56580;58843,2;58843,2;62079,6;61559,04;58732,68;58732,68;58732,68;58732,68;58733;58733
1;119824;5578,92;5578,92;5578,92;5578,92;5578,92;5578,92;5578,92;5578,92;0;0;0;0
1;119299;58200;58200;58200;58200;58200;58200;58200;58200;58200;58200;58200;58200
1;119044;2246,77;2246,77;2246,77;2246,77;2246,77;2246,77;2246,77;2246,77;0;0;0;0
1;122045;12967,39;12967,39;12967,39;12967,39;12967,39;12967,39;12967,39;12967,39;0;0;0;0
1;122164;4086,18;4086,18;4086,18;4086,18;4086,18;4086,18;0;0;0;0;0;0
1;120518;5899,2;5731,2;5731,2;5563,2;5730,09;5733,93;5733,93;5733,93;5458,17;5458,17;0;0
1;121090;4152;4152;4401,12;4401,12;4621,2;4665,18;5656,14;5656,14;0;0;0;0
1;121988;5750,25;5750,25;5750,25;5750,25;5750,25;5750,25;5750,25;5750,25;0;0;0;0
1;120775;48189,6;48189,6;48189,6;48189,6;48189,6;48189,6;48189,6;48189,6;48189,6;48189,6;48190;48190
1;117880;6416,1;6416,1;6416,1;6416,1;6416,1;6416,1;6416,1;6416,1;6416,1;6416,1;0;0
