ano;semestre;cod_grupo_preferencia;1_semestre_bruto;2_semestre_bruto;3_semestre_bruto;5_semestre_bruto;6_semestre_bruto;7_semestre_bruto;8_semestre_bruto;9_semestre_bruto;10_semestre_bruto;11_semestre_bruto;12_semestre_bruto
2021;1;120987;15461,21;14496,96;14541,41;14541,41;14541,41;14541,41;14541,41;0;0;0;0
2021;1;120770;3060;3060;3240;3420;3420;3540;3540;0;0;0;0
2021;1;119618;7800;7800;7800;7800;7800;7800;7800;7800;7800;0;0
2021;1;120888;3594;3594;3594;0;0;0;0;0;0;0;0
2021;1;120929;6408;6408;6408;6408;0;0;0;0;0;0;0
2021;1;120885;5754;5754;5754;5754;5754;5754;5754;5754;5754;0;0
2021;1;118618;7800;7800;7800;7800;7800;7800;7800;7800;7800;0;0
2021;1;122048;37372,8;37372,8;37372,8;37372,8;37372,8;37372,8;37372,8;37372,8;37372,8;0;0
2021;1;120912;47568;47568;47568;47568;47568;47568;47568;47568;47568;47568;47568
2021;1;119711;6268,8;6268,8;6268,8;6268,8;6268,8;6268,8;6268,8;6268,8;6268,8;0;0
2021;1;119351;9086,28;9676,89;10305,89;11689,19;12448,99;13258,18;14119,96;0;0;0;0
2021;1;119160;3324;3324;3324;3324;3324;3324;3324;0;0;0;0
2021;1;119708;6156,78;6156,78;6156,78;6156,78;6156,78;6156,78;6156,78;6156,78;6156,78;0;0
2021;1;119314;8922;8922;8922;8922;8922;8922;8922;8922;8922;0;0
2021;1;120640;8328,6;7041,51;6717,77;6988,33;7518,55;7072,84;7680,18;7073,9;7478,3;0;0
2021;1;119265;7490,64;7303,14;8032,02;8926,44;8131,2;8752,56;8454,6;8454,6;8454,6;0;0
2021;1;120946;5746,5;5125,09;4790,87;4790,87;5810,51;5922,28;5922,28;5922,28;5922,28;0;0
2021;1;118294;9928,14;10537,5;11589,12;11417,46;11530,2;17191,98;16064,4;17766;13952,4;0;0
2021;1;122243;4542;4542;4542;4542;4542;4542;4542;0;0;0;0
2021;1;120931;8394;8394;8394;8394;8394;8394;8394;8394;8394;0;0
2021;1;121531;7530;7530;7530;7530;7530;7530;7530;7530;7530;0;0
2021;1;120284;6176,84;6176,84;6176,84;0;0;0;0;0;0;0;0
2021;1;120994;8196;8196;8196;8196;8196;8196;8196;0;0;0;0
2021;1;122147;9346,8;9346,8;9346,8;9346,8;9346,8;9346,8;9346,8;0;0;0;0
2021;1;118499;2653,75;2653,75;3178,98;3925,35;4008,27;2239,11;1439,47;0;0;0;0
2021;1;120947;6770,57;6770,57;6770,57;6770,57;6770,57;6770,57;6770,57;6770,57;6770,57;0;0
2021;1;120538;7486,8;7486,8;7486,8;8235,48;8235,48;8984,16;7486,8;0;0;0;0
2021;1;120649;3389,4;3389,4;3389,4;0;0;0;0;0;0;0;0
2021;1;117929;6288,78;6288,78;6288,78;6288,78;0;0;0;0;0;0;0
2021;1;118001;6586,8;7904,16;7245,48;9221,52;7904,16;7904,16;6586,8;7245,48;5928,12;0;0
2021;1;120836;13860;13860;13860;13860;13860;13860;13860;13860;13860;0;0
2021;1;118262;8994;8994;8994;8994;8994;8994;8994;0;0;0;0
2021;1;121044;7194;7194;7194;7194;7194;7194;7194;0;0;0;0
2021;1;118619;6984;6984;6984;6984;6984;6984;6984;6984;6984;0;0
2021;1;120795;7512;7512;7512;7512;7512;7512;7512;7512;7512;0;0
2021;1;120507;9594;9594;10314;11640;11640;11640;11640;13194;13194;0;0
2021;1;121965;5292;5292;5821,2;6403,32;6403,32;7043,65;7043,65;0;0;0;0
