ies;codigo_mec_ies;organizacao_academica;uf_ies;municipio_ies;vagas_autorizadas;vagas_ocupadas
FACULDADE DE FRUTAL;3793;Faculdade ;MG;Frutal;50;0
Faculdade Presidente Antônio Carlos de Baependi;14101;Faculdade ;MG;Baependi;100;0
FACULDADES INTEGRADAS DE TANGARA DA SERRA;1587;Faculdade ;MT;Tangará da Serra;90;0
FACULDADE DE TUPA;270;Faculdade ;SP;Tupã;80;0
FETAC - FACULDADE DE EDUCAÇAO, TECNOLOGIA E ADMINISTRAÇAO DE CAARAPÓ;12748;Faculdade ;MS;Caarapó;100;0
FACULDADE CAPIVARI;1918;Faculdade ;SC;Capivari de Baixo;38;2
FACULDADE DE AGUDOS;1834;Faculdade ;SP;Agudos;100;0
FACULDADE DA REGIAO SERRANA;1862;Faculdade ;ES;Santa Maria de Jetibá;50;0
FACULDADE DE HORTOLÂNDIA;886;Faculdade ;SP;Hortolândia;100;0
Faculdade AGES de Jacobina;19408;Faculdade ;BA;Jacobina;100;0
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENAPOLIS;68;Faculdade ;SP;Penápolis;100;0
FACULDADE DE BOITUVA;1545;Faculdade ;SP;Boituva;150;0
FACULDADES INTEGRADAS ADVENTISTAS DE MINAS GERAIS;3754;Faculdade ;MG;Lavras;50;0
FACULDADE RAIMUNDO MARINHO DE PENEDO;18874;Faculdade ;AL;Penedo;200;0
FACULDADE ANHANGUERA DE SERTAOZINHO;1456;Faculdade ;SP;Sertãozinho;100;0
FACULDADE DE SAO LOURENÇO;828;Faculdade ;MG;São Lourenço;50;0
FACULDADE ALFREDO NASSER DE REMANSO;11862;Faculdade ;BA;Remanso;120;0
FACULDADE DE ILHA SOLTEIRA;1562;Faculdade ;SP;Ilha Solteira;150;0
CENTRO UNIVERSITARIO ANHANGAœERA;1045;Centro Universitário;SP;Leme;40;2
FACULDADE VALE DO GORUTUBA;2200;Faculdade ;MG;Nova Porteirinha;50;1
UNIVERSIDADE VALE DO RIO VERDE;27;Universidade;MG;Três Corações;50;0
Faculdade Presidente Antônio Carlos de Teófilo Otoni;14156;Faculdade ;MG;Teófilo Otoni;100;2
CENTRO UNIVERSITARIO CATHEDRAL;1952;Centro Universitário;MT;Barra do Garças;144;2
FACULDADE DE VIÇOSA;1721;Faculdade ;MG;Viçosa;60;0
CENTRO UNIVERSITARIO PITAGORAS DE MARABA;4452;Centro Universitário;PA;Marabá;25;2
FACULDADES INTEGRADAS DE PRIMAVERA DO LESTE;2973;Faculdade ;MT;Primavera do Leste;120;0
FACULDADE UNA DE CATALAO;18474;Faculdade ;GO;Catalão;100;1
FACULDADE DE AMAMBAI;1204;Faculdade ;MS;Amambaí;100;0
FACULDADE DE CIÊNCIAS E TECNOLOGIA DA BAHIA;5473;Faculdade ;BA;Santa Maria da Vitória;200;0
CENTRO UNIVERSITARIO FAMINAS;1913;Centro Universitário;MG;Muriaé;60;4
FACULDADE UNIRB - JUAZEIRO ;15667;Faculdade ;BA;Juazeiro;100;0
INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE ASSIS;881;Faculdade ;SP;Assis;40;1
FACULDADE ESTACIO DE CASTANHAL;4915;Faculdade ;PA;Castanhal;40;0
CENTRO UNIVERSITARIO DE SANTA FÉ DO SUL;1356;Centro Universitário;SP;Santa Fé do Sul;60;15
UNIVERSIDADE ALTO VALE DO RIO DO PEIXE;15032;Universidade;SC;Caçador;50;2
Faculdade UNICESUMAR de Corumbá;24488;Faculdade ;MS;Corumbá;50;8
UNIVERSIDADE DE UBERABA;143;Universidade;MG;Uberaba;120;5
Faculdades EST;1382;Faculdade ;RS;São Leopoldo;60;1
FACULDADE SAO VICENTE;2642;Faculdade ;AL;Pão de Açúcar;50;0
