ies;codigo_mec_ies;organizacao_academica;uf_ies;municipio_ies;vagas_autorizadas;vagas_ocupadas
FACULDADE PITAGORAS DE DIVINÓPOLIS - FPD;3149;Faculdade ;MG;Divinópolis;143;0
UNIVERSIDADE DO SUL DE SANTA CATARINA;494;Universidade;SC;Tubarão;100;0
Faculdade Galileu;17662;Faculdade ;SP;Botucatu;40;0
CENTRO UNIVERSITARIO ESTACIO JUIZ DE FORA - ESTACIO JUIZ DE FORA;1986;Centro Universitário;MG;Juiz de Fora;80;1
Centro Universitário Sudoeste Paulista;1317;Centro Universitário;SP;Avaré;100;0
FACULDADE CIDADE DE PATOS DE MINAS;2915;Faculdade ;MG;Patos de Minas;100;0
CENTRO UNIVERSITARIO ETEP;5669;Centro Universitário;SP;São José dos Campos;80;0
FACULDADE VIDAL;17499;Faculdade ;CE;Limoeiro do Norte;40;0
FACULDADE UNIDA DE CAMPINAS;2770;Faculdade ;GO;Goiânia;50;7
Centro de Ensino Superior de Conselheiro Lafaiete;3488;Faculdade ;MG;Conselheiro Lafaiete;60;0
Centro Universitário UNIRB - Alagoinhas;3864;Centro Universitário;BA;Alagoinhas;100;0
Faculdade SOCIESC;3758;Faculdade ;SC;Florianópolis;75;1
CENTRO UNIVERSITARIO DE DESENVOLVIMENTO DO CENTRO OESTE;826;Centro Universitário;GO;Luziânia;150;1
FACUDADE IEDUCARE - FIED;2466;Faculdade ;CE;Tianguá;50;1
Faculdade Estácio de Carapicuíba;4169;Faculdade ;SP;Carapicuíba;120;0
CENTRO UNIVERSITARIO CENTRAL PAULISTA;707;Centro Universitário;SP;São Carlos;60;0
FACULDADE DE EDUCAÇAO E CULTURA DE VILHENA;11645;Faculdade ;RO;Vilhena;40;0
FACULDADE DE CIÊNCIAS E LETRAS DE BRAGANÇA PAULISTA;495;Faculdade ;SP;Bragança Paulista;80;6
CENTRO UNIVERSITARIO UNIFATECIE;4751;Centro Universitário;PR;Paranavaí;100;2
FACULDADE DO VALE DO JAGUARIBE;1350;Faculdade ;CE;Aracati;100;8
